model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n
full_pytorch_graphsage,11,0,3,0.8536316382165519,True,0.48999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7075757575757575,0.8550436483325872,0.7168141592920354,0.8260869565217392,0.7307692307692307,0.95,0.2429851573823379,80,113,0.6608870967741935,0.8536316382165519,0.7387387387387387,0.8432432432432432,0.7428571428571429,0.975,0.24339907207891295,80,111,0.638095238095238,0.7818516978036572,0.7241379310344828,0.8297872340425532,0.7289719626168224,0.9629629629629629,0.2433856076823671,81,116
full_pytorch_graphsage,11,1,180,0.8125298396604258,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9911816578483245,0.9965195709365965,0.853448275862069,0.9050279329608939,0.826530612244898,1.0,0.04017444600530727,81,116,0.6454545454545455,0.8125298396604258,0.6902654867256637,0.8066298342541437,0.7227722772277227,0.9125,0.28932211179694556,80,113,0.48346774193548386,0.7540053465309312,0.6936936936936937,0.8131868131868133,0.7254901960784313,0.925,0.3820215377704457,80,111
full_pytorch_graphsage,11,2,7,0.821123816045214,True,0.49999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6326612903225807,0.8320811322176921,0.7117117117117117,0.8160919540229885,0.7553191489361702,0.8875,0.236465805357939,80,111,0.6680776014109348,0.821123816045214,0.7327586206896551,0.8306010928961749,0.7450980392156863,0.9382716049382716,0.2365937642002653,81,116,0.625,0.7630724613567059,0.7522123893805309,0.840909090909091,0.7708333333333334,0.925,0.23855822514176941,80,113
full_pytorch_graphsage,23,0,20,0.7832690684592511,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7223484848484848,0.8765087638118008,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.22491112271819563,80,113,0.5737903225806451,0.7832690684592511,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2532891246191531,80,111,0.5788359788359788,0.7619922338985805,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.25281530358626214,81,116
full_pytorch_graphsage,23,1,12,0.774600286173405,True,0.32999999999999996,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7710758377425044,0.904577792135973,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.20254065450920924,81,116,0.5617424242424243,0.774600286173405,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.23820152410423315,80,113,0.5713709677419355,0.7901967520404329,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23744029110196604,80,111
full_pytorch_graphsage,23,2,53,0.786384384013652,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9435483870967742,0.9799181874130459,0.7477477477477478,0.8494623655913979,0.7452830188679245,0.9875,0.10158078404982855,80,111,0.6409171075837743,0.786384384013652,0.7155172413793104,0.8307692307692308,0.7105263157894737,1.0,0.23556748054495844,81,116,0.5238636363636363,0.7225935255215453,0.6902654867256637,0.8108108108108109,0.7142857142857143,0.9375,0.31546436827972535,80,113
full_pytorch_graphsage,42,0,29,0.8134367801489854,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7795454545454545,0.8953418308064041,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.19408465584000395,80,113,0.6431451612903226,0.8134367801489854,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.21214313124383488,80,111,0.5961199294532628,0.764114352509798,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.22479832678424402,81,116
full_pytorch_graphsage,42,1,1,0.807278004352027,True,0.48999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.5749559082892416,0.7736335191937432,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.24873400763459733,81,116,0.6325757575757576,0.807278004352027,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.24865349698043923,80,113,0.5701612903225807,0.7720270373338323,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24859580246507187,80,111
full_pytorch_graphsage,42,2,30,0.7957215909233815,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.802016129032258,0.9190651527180049,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.1894069871181899,80,111,0.5746031746031746,0.7957215909233815,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23988082674119218,81,116,0.5738636363636364,0.7851274842053623,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.23484317543918293,80,113
full_pytorch_graphsage,77,0,18,0.8581332617618189,True,0.35999999999999993,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7196969696969697,0.8710714248116684,0.7345132743362832,0.8255813953488372,0.7717391304347826,0.8875,0.22475914148287515,80,113,0.6713709677419355,0.8581332617618189,0.7567567567567568,0.8508287292817679,0.7623762376237624,0.9625,0.23092318406923634,80,111,0.5813051146384479,0.7690810572509514,0.7241379310344828,0.8279569892473119,0.7333333333333333,0.9506172839506173,0.24347213313838403,81,116
full_pytorch_graphsage,77,1,35,0.7734234207180773,True,0.18,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7760141093474426,0.8947504107141928,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.21642263916360088,81,116,0.5901515151515152,0.7734234207180773,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.2933439228986369,80,113,0.6576612903225807,0.8267415021188788,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2733113270820281,80,111
full_pytorch_graphsage,77,2,118,0.8675034055421883,True,0.08,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9818548387096774,0.9934406317220887,0.8108108108108109,0.8839779005524863,0.7920792079207921,1.0,0.05990420628731798,80,111,0.7294532627865962,0.8675034055421883,0.7155172413793104,0.8272251308900522,0.7181818181818181,0.9753086419753086,0.228750154285751,81,116,0.5924242424242424,0.7569230155643185,0.672566371681416,0.7978142076502732,0.7087378640776699,0.9125,0.2745907807212158,80,113
full_pytorch_graphsage,101,0,37,0.8187154342700943,True,0.18,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.803409090909091,0.914454575934227,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.19324728391994048,80,113,0.6100806451612903,0.8187154342700943,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.2570731351154906,80,111,0.5329805996472663,0.7683322226387446,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2789483621328413,81,116
full_pytorch_graphsage,101,1,1,0.7860500832568877,True,0.05,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6155202821869489,0.7809511651118076,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.26089239092780003,81,116,0.609469696969697,0.7860500832568877,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2621043855924944,80,113,0.5830645161290322,0.7733579483006963,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2627557727878663,80,111
full_pytorch_graphsage,101,2,6,0.75449462351352,True,0.49999999999999994,16,0.2,0.1,0.01,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6754032258064516,0.8104917219341825,0.7027027027027027,0.8253968253968255,0.7155963302752294,0.975,0.22699008300190623,80,111,0.5710758377425044,0.75449462351352,0.7327586206896551,0.839378238341969,0.7232142857142857,1.0,0.23306070221960398,81,116,0.5503787878787879,0.7287886825245822,0.7168141592920354,0.8297872340425532,0.7222222222222222,0.975,0.2339630970470913,80,113
